species index (starts from 1),from,to,stoichiometric value 
37,R396,PH2O2,0.013000
208,R396,H2O2,0.013000
220,ISOP,R396,1.000000
230,R396,CH2OO,0.580000
244,R396,MVK,0.177000
247,R396,MACR,0.416000
258,R396,CO,0.407000
262,R396,CH2O,0.827000
263,R396,MO2,0.407000
269,O3,R396,1.000000
279,R396,OH,0.280000
281,R396,HO2,0.160000
13,R397,LISOPOH,1.000000
220,ISOP,R397,1.000000
242,R397,IHOO1,1.000000
279,OH,R397,1.000000
13,R398,LISOPOH,1.000000
220,ISOP,R398,1.000000
243,R398,IHOO4,1.000000
279,OH,R398,1.000000
13,R399,LISOPOH,1.000000
33,R399,PCO,0.600000
125,R399,HPALD3,0.150000
168,R399,HPETHNL,0.300000
182,R399,HPALD1,0.250000
220,ISOP,R399,1.000000
228,R399,MGLY,0.300000
257,R399,MCO3,0.300000
258,R399,CO,0.600000
262,R399,CH2O,0.300000
279,R399,OH,0.500000
281,R399,HO2,0.400000
13,R400,LISOPOH,1.000000
33,R400,PCO,0.900000
126,R400,HPALD4,0.150000
184,R400,HPALD2,0.250000
193,R400,ATOOH,0.300000
220,ISOP,R400,1.000000
228,R400,MGLY,0.300000
258,R400,CO,0.900000
262,R400,CH2O,0.300000
279,R400,OH,0.500000
281,R400,HO2,0.700000
153,R401,RIPA,0.937000
242,IHOO1,R401,1.000000
244,R401,MVK,0.063000
262,R401,CH2O,0.063000
279,R401,OH,0.063000
281,HO2,R401,0.937000
167,R402,RIPC,1.000000
242,IHOO1,R402,1.000000
281,HO2,R402,1.000000
158,R403,RIPB,0.937000
243,IHOO4,R403,1.000000
247,R403,MACR,0.063000
262,R403,CH2O,0.063000
279,R403,OH,0.063000
281,HO2,R403,0.937000
161,R404,RIPD,1.000000
243,IHOO4,R404,1.000000
281,HO2,R404,1.000000
242,IHOO1,R405,1.000000
244,R405,MVK,1.000000
262,R405,CH2O,1.000000
279,R405,OH,1.000000
33,R406,PCO,0.600000
125,R406,HPALD3,0.150000
168,R406,HPETHNL,0.300000
182,R406,HPALD1,0.250000
228,R406,MGLY,0.300000
242,IHOO1,R406,1.000000
257,R406,MCO3,0.300000
258,R406,CO,0.600000
262,R406,CH2O,0.300000
279,R406,OH,1.500000
281,R406,HO2,0.400000
243,IHOO4,R407,1.000000
247,R407,MACR,1.000000
262,R407,CH2O,1.000000
279,R407,OH,1.000000
33,R408,PCO,0.900000
126,R408,HPALD4,0.150000
184,R408,HPALD2,0.250000
193,R408,ATOOH,0.300000
228,R408,MGLY,0.300000
243,IHOO4,R408,1.000000
258,R408,CO,0.900000
262,R408,CH2O,0.300000
279,R408,OH,1.500000
281,R408,HO2,0.700000
242,IHOO1,R409,2.000000
244,R409,MVK,2.000000
262,R409,CH2O,2.000000
281,R409,HO2,2.000000
243,IHOO4,R410,2.000000
247,R410,MACR,2.000000
262,R410,CH2O,2.000000
281,R410,HO2,2.000000
242,IHOO1,R411,1.000000
243,IHOO4,R411,1.000000
244,R411,MVK,1.000000
247,R411,MACR,1.000000
262,R411,CH2O,2.000000
281,R411,HO2,2.000000
33,R412,PCO,1.000000
189,R412,HC5A,1.000000
226,R412,MVKHP,1.000000
242,IHOO1,R412,2.000000
258,R412,CO,1.000000
279,R412,OH,1.000000
281,R412,HO2,1.000000
33,R413,PCO,1.000000
189,R413,HC5A,1.000000
227,R413,MCRHP,1.000000
243,IHOO4,R413,2.000000
258,R413,CO,1.000000
279,R413,OH,1.000000
281,R413,HO2,1.000000
33,R414,PCO,1.000000
189,R414,HC5A,1.000000
226,R414,MVKHP,0.500000
227,R414,MCRHP,0.500000
242,IHOO1,R414,1.000000
243,IHOO4,R414,1.000000
258,R414,CO,1.000000
279,R414,OH,1.000000
281,R414,HO2,1.000000
242,IHOO1,R415,1.000000
244,R415,MVK,1.000000
262,R415,CH2O,2.000000
263,MO2,R415,1.000000
281,R415,HO2,2.000000
33,R416,PCO,0.500000
189,R416,HC5A,0.500000
226,R416,MVKHP,0.500000
242,IHOO1,R416,1.000000
258,R416,CO,0.500000
262,R416,CH2O,1.000000
263,MO2,R416,1.000000
279,R416,OH,0.500000
281,R416,HO2,1.500000
243,IHOO4,R417,1.000000
247,R417,MACR,1.000000
262,R417,CH2O,2.000000
263,MO2,R417,1.000000
281,R417,HO2,2.000000
33,R418,PCO,0.500000
189,R418,HC5A,0.500000
227,R418,MCRHP,0.500000
243,IHOO4,R418,1.000000
258,R418,CO,0.500000
262,R418,CH2O,1.000000
263,MO2,R418,1.000000
279,R418,OH,0.500000
281,R418,HO2,1.500000
136,R419,IHN2,1.000000
242,IHOO1,R419,1.000000
280,NO,R419,1.000000
242,IHOO1,R420,1.000000
244,R420,MVK,1.000000
262,R420,CH2O,1.000000
270,R420,NO2,1.000000
280,NO,R420,1.000000
281,R420,HO2,1.000000
210,R421,IHN4,1.000000
242,IHOO1,R421,1.000000
280,NO,R421,1.000000
33,R422,PCO,0.550000
189,R422,HC5A,0.450000
226,R422,MVKHP,0.550000
242,IHOO1,R422,1.000000
258,R422,CO,0.550000
270,R422,NO2,1.000000
279,R422,OH,0.550000
280,NO,R422,1.000000
281,R422,HO2,0.450000
137,R423,IHN3,1.000000
243,IHOO4,R423,1.000000
280,NO,R423,1.000000
243,IHOO4,R424,1.000000
247,R424,MACR,1.000000
262,R424,CH2O,1.000000
270,R424,NO2,1.000000
280,NO,R424,1.000000
281,R424,HO2,1.000000
216,R425,IHN1,1.000000
243,IHOO4,R425,1.000000
280,NO,R425,1.000000
33,R426,PCO,0.550000
189,R426,HC5A,0.450000
227,R426,MCRHP,0.550000
243,IHOO4,R426,1.000000
258,R426,CO,0.550000
270,R426,NO2,1.000000
279,R426,OH,0.550000
280,NO,R426,1.000000
281,R426,HO2,0.450000
33,R427,PCO,0.450000
106,R427,IDC,0.150000
120,R427,HPALD1OO,0.315000
170,R427,ICHE,0.085000
182,HPALD1,R427,1.000000
226,R427,MVKHP,0.330000
228,R427,MGLY,0.085000
244,R427,MVK,0.035000
258,R427,CO,0.450000
262,R427,CH2O,0.085000
279,R427,OH,0.085000
281,R427,HO2,0.085000
33,R428,PCO,0.370000
106,R428,IDC,0.150000
117,R428,HPALD2OO,0.315000
170,R428,ICHE,0.165000
184,HPALD2,R428,1.000000
227,R428,MCRHP,0.170000
228,R428,MGLY,0.165000
247,R428,MACR,0.035000
258,R428,CO,0.370000
262,R428,CH2O,0.165000
279,R428,OH,0.165000
281,R428,HO2,0.165000
33,R429,PCO,0.420000
125,HPALD3,R429,1.000000
170,R429,ICHE,0.580000
226,R429,MVKHP,0.190000
244,R429,MVK,0.230000
258,R429,CO,0.420000
279,OH,R429,1.000000
279,R429,OH,1.000000
33,R430,PCO,0.230000
126,HPALD4,R430,1.000000
170,R430,ICHE,0.770000
227,R430,MCRHP,0.090000
247,R430,MACR,0.140000
258,R430,CO,0.230000
279,OH,R430,1.000000
279,R430,OH,1.000000
6,R431,CO2,0.355000
33,R431,PCO,0.638000
189,HC5A,R431,1.000000
224,R431,IEPOXBOO,0.068000
225,R431,IEPOXAOO,0.294000
226,R431,MVKHP,0.125000
227,R431,MCRHP,0.158000
228,R431,MGLY,0.355000
258,R431,CO,0.638000
279,R431,OH,0.065000
281,R431,HO2,0.283000
33,R432,PCO,1.500000
170,ICHE,R432,1.000000
228,R432,MGLY,0.500000
246,R432,HAC,0.500000
258,R432,CO,1.500000
262,R432,CH2O,0.500000
279,OH,R432,1.000000
279,R432,OH,1.000000
33,R433,PCO,1.000000
106,IDC,R433,1.000000
152,R433,MVKPC,1.000000
258,R433,CO,1.000000
279,OH,R433,1.000000
281,R433,HO2,1.000000
23,R434,LVOC,0.005000
153,RIPA,R434,1.000000
179,R434,IHPOO1,0.345000
183,R434,IHPOO3,0.655000
279,OH,R434,1.000000
23,R435,LVOC,0.005000
127,R435,IEPOXA,0.670000
128,R435,IEPOXB,0.330000
153,RIPA,R435,1.000000
279,OH,R435,1.000000
279,R435,OH,1.000000
23,R436,LVOC,0.005000
158,RIPB,R436,1.000000
180,R436,IHPOO2,0.345000
183,R436,IHPOO3,0.655000
279,OH,R436,1.000000
23,R437,LVOC,0.005000
127,R437,IEPOXA,0.680000
128,R437,IEPOXB,0.320000
158,RIPB,R437,1.000000
279,OH,R437,1.000000
279,R437,OH,1.000000
23,R438,LVOC,0.005000
33,R438,PCO,0.250000
153,RIPA,R438,1.000000
226,R438,MVKHP,0.125000
242,R438,IHOO1,0.750000
244,R438,MVK,0.125000
258,R438,CO,0.250000
279,OH,R438,1.000000
281,R438,HO2,0.250000
23,R439,LVOC,0.005000
33,R439,PCO,0.330000
158,RIPB,R439,1.000000
190,R439,ICHOO,0.160000
227,R439,MCRHP,0.165000
243,R439,IHOO4,0.510000
247,R439,MACR,0.165000
258,R439,CO,0.330000
279,OH,R439,1.000000
281,R439,HO2,0.330000
23,R440,LVOC,0.005000
33,R440,PCO,0.036000
115,R440,IEPOXD,0.255000
125,R440,HPALD3,0.009000
167,RIPC,R440,1.000000
168,R440,HPETHNL,0.018000
179,R440,IHPOO1,0.595000
182,R440,HPALD1,0.015000
189,R440,HC5A,0.060000
228,R440,MGLY,0.018000
242,R440,IHOO1,0.030000
257,R440,MCO3,0.018000
258,R440,CO,0.036000
262,R440,CH2O,0.018000
279,OH,R440,0.595000
281,R440,HO2,0.024000
23,R441,LVOC,0.005000
33,R441,PCO,0.054000
115,R441,IEPOXD,0.595000
126,R441,HPALD4,0.009000
161,RIPD,R441,1.000000
180,R441,IHPOO2,0.255000
184,R441,HPALD2,0.015000
189,R441,HC5A,0.060000
193,R441,ATOOH,0.018000
228,R441,MGLY,0.018000
243,R441,IHOO4,0.030000
258,R441,CO,0.054000
262,R441,CH2O,0.018000
279,OH,R441,0.255000
281,R441,HO2,0.042000
159,R442,IDHPE,0.824000
179,IHPOO1,R442,1.000000
202,R442,ICPDH,0.176000
279,R442,OH,1.000000
168,R443,HPETHNL,0.284000
179,IHPOO1,R443,1.000000
227,R443,MCRHP,0.716000
246,R443,HAC,0.284000
262,R443,CH2O,0.716000
270,R443,NO2,1.000000
280,NO,R443,1.000000
281,R443,HO2,1.000000
179,IHPOO1,R444,1.000000
238,R444,ITHN,1.000000
280,NO,R444,1.000000
140,R445,IDHDP,0.725000
168,R445,HPETHNL,0.135000
179,IHPOO1,R445,1.000000
227,R445,MCRHP,0.140000
246,R445,HAC,0.135000
262,R445,CH2O,0.140000
279,R445,OH,0.275000
281,HO2,R445,0.725000
159,R446,IDHPE,0.452000
180,IHPOO2,R446,1.000000
202,R446,ICPDH,0.548000
279,R446,OH,1.000000
180,IHPOO2,R447,1.000000
193,R447,ATOOH,0.294000
226,R447,MVKHP,0.706000
232,R447,GLYC,0.294000
262,R447,CH2O,0.706000
270,R447,NO2,1.000000
280,NO,R447,1.000000
281,R447,HO2,1.000000
180,IHPOO2,R448,1.000000
238,R448,ITHN,1.000000
280,NO,R448,1.000000
140,R449,IDHDP,0.725000
180,IHPOO2,R449,1.000000
193,R449,ATOOH,0.135000
226,R449,MVKHP,0.140000
232,R449,GLYC,0.135000
262,R449,CH2O,0.140000
279,R449,OH,0.275000
281,HO2,R449,0.725000
159,R450,IDHPE,1.000000
183,IHPOO3,R450,1.000000
183,IHPOO3,R451,1.000000
232,R451,GLYC,1.000000
246,R451,HAC,1.000000
270,R451,NO2,1.000000
279,R451,OH,1.000000
280,NO,R451,1.000000
183,IHPOO3,R452,1.000000
238,R452,ITHN,1.000000
280,NO,R452,1.000000
140,R453,IDHDP,0.350000
183,IHPOO3,R453,1.000000
232,R453,GLYC,0.650000
246,R453,HAC,0.650000
279,R453,OH,1.300000
281,HO2,R453,1.000000
115,IEPOXD,R454,1.000000
170,R454,ICHE,0.750000
190,R454,ICHOO,0.250000
279,OH,R454,1.000000
281,R454,HO2,0.750000
127,IEPOXA,R455,1.000000
170,R455,ICHE,1.000000
279,OH,R455,1.000000
281,R455,HO2,1.000000
127,IEPOXA,R456,1.000000
224,R456,IEPOXBOO,0.330000
225,R456,IEPOXAOO,0.670000
279,OH,R456,1.000000
128,IEPOXB,R457,1.000000
170,R457,ICHE,1.000000
279,OH,R457,1.000000
281,R457,HO2,1.000000
128,IEPOXB,R458,1.000000
224,R458,IEPOXBOO,0.190000
225,R458,IEPOXAOO,0.810000
279,OH,R458,1.000000
122,R459,IDCHP,1.000000
225,IEPOXAOO,R459,1.000000
281,R459,HO2,1.000000
33,R460,PCO,1.000000
116,R460,MVKDH,1.000000
225,IEPOXAOO,R460,1.000000
258,R460,CO,1.000000
279,R460,OH,1.000000
33,R461,PCO,0.130000
116,R461,MVKDH,0.130000
202,R461,ICPDH,0.350000
225,IEPOXAOO,R461,1.000000
228,R461,MGLY,0.520000
232,R461,GLYC,0.520000
258,R461,CO,0.130000
279,R461,OH,0.650000
281,HO2,R461,0.350000
33,R462,PCO,0.200000
116,R462,MVKDH,0.200000
225,IEPOXAOO,R462,1.000000
228,R462,MGLY,0.800000
232,R462,GLYC,0.800000
258,R462,CO,0.200000
270,R462,NO2,1.000000
280,NO,R462,1.000000
281,R462,HO2,1.000000
209,R463,ITCN,1.000000
225,IEPOXAOO,R463,1.000000
280,NO,R463,1.000000
122,R464,IDCHP,1.000000
224,IEPOXBOO,R464,1.000000
281,R464,HO2,1.000000
33,R465,PCO,1.000000
130,R465,MCRDH,1.000000
224,IEPOXBOO,R465,1.000000
258,R465,CO,1.000000
279,R465,OH,1.000000
33,R466,PCO,0.200000
130,R466,MCRDH,0.200000
218,R466,GLYX,0.800000
224,IEPOXBOO,R466,1.000000
246,R466,HAC,0.800000
258,R466,CO,0.200000
270,R466,NO2,1.000000
280,NO,R466,1.000000
281,R466,HO2,1.000000
209,R467,ITCN,1.000000
224,IEPOXBOO,R467,1.000000
280,NO,R467,1.000000
33,R468,PCO,0.130000
130,R468,MCRDH,0.130000
202,R468,ICPDH,0.350000
218,R468,GLYX,0.520000
224,IEPOXBOO,R468,1.000000
246,R468,HAC,0.520000
258,R468,CO,0.130000
279,R468,OH,0.650000
281,HO2,R468,0.350000
33,R469,PCO,0.520000
166,R469,MVKHC,0.130000
190,ICHOO,R469,1.000000
202,R469,ICPDH,0.350000
246,R469,HAC,0.520000
258,R469,CO,0.520000
262,R469,CH2O,0.650000
279,R469,OH,0.650000
281,HO2,R469,0.350000
190,ICHOO,R470,1.000000
209,R470,ITCN,1.000000
280,NO,R470,1.000000
33,R471,PCO,0.800000
166,R471,MVKHC,0.200000
190,ICHOO,R471,1.000000
246,R471,HAC,0.800000
258,R471,CO,0.800000
262,R471,CH2O,1.000000
270,R471,NO2,1.000000
280,NO,R471,1.000000
281,R471,HO2,1.000000
33,R472,PCO,2.000000
190,ICHOO,R472,1.000000
246,R472,HAC,1.000000
258,R472,CO,2.000000
279,R472,OH,1.000000
281,R472,HO2,1.000000
6,R473,CO2,1.000000
120,HPALD1OO,R473,1.000000
244,R473,MVK,1.000000
270,R473,NO2,1.000000
279,R473,OH,1.000000
280,NO,R473,1.000000
6,R474,CO2,1.000000
120,HPALD1OO,R474,1.000000
244,R474,MVK,1.000000
279,R474,OH,2.000000
281,HO2,R474,1.000000
6,R475,CO2,1.000000
117,HPALD2OO,R475,1.000000
247,R475,MACR,1.000000
270,R475,NO2,1.000000
279,R475,OH,1.000000
280,NO,R475,1.000000
6,R476,CO2,1.000000
117,HPALD2OO,R476,1.000000
247,R476,MACR,1.000000
279,R476,OH,2.000000
281,HO2,R476,1.000000
136,IHN2,R477,1.000000
162,R477,ISOPNOO1,1.000000
279,OH,R477,1.000000
127,R478,IEPOXA,0.670000
128,R478,IEPOXB,0.330000
136,IHN2,R478,1.000000
270,R478,NO2,1.000000
279,OH,R478,1.000000
137,IHN3,R479,1.000000
148,R479,ISOPNOO2,1.000000
279,OH,R479,1.000000
127,R480,IEPOXA,0.670000
128,R480,IEPOXB,0.330000
137,IHN3,R480,1.000000
270,R480,NO2,1.000000
279,OH,R480,1.000000
115,R481,IEPOXD,1.000000
216,IHN1,R481,1.000000
270,R481,NO2,1.000000
279,OH,R481,1.000000
164,R482,IDHNDOO1,1.000000
216,IHN1,R482,1.000000
279,OH,R482,1.000000
115,R483,IEPOXD,1.000000
210,IHN4,R483,1.000000
270,R483,NO2,1.000000
279,OH,R483,1.000000
163,R484,IDHNDOO2,1.000000
210,IHN4,R484,1.000000
279,OH,R484,1.000000
33,R485,PCO,0.600000
171,R485,MCRHNB,0.600000
216,IHN1,R485,1.000000
236,R485,ICN,0.400000
258,R485,CO,0.600000
279,OH,R485,0.400000
281,R485,HO2,0.400000
33,R486,PCO,0.600000
210,IHN4,R486,1.000000
236,R486,ICN,0.400000
237,R486,MVKN,0.600000
258,R486,CO,0.600000
279,OH,R486,0.400000
281,R486,HO2,0.400000
162,ISOPNOO1,R487,1.000000
209,R487,ITCN,1.000000
281,R487,HO2,1.000000
162,ISOPNOO1,R488,1.000000
195,R488,MCRHN,0.059000
232,R488,GLYC,0.459000
238,R488,ITHN,0.482000
246,R488,HAC,0.459000
262,R488,CH2O,0.059000
270,R488,NO2,0.459000
279,R488,OH,0.518000
281,HO2,R488,0.941000
162,ISOPNOO1,R489,1.000000
195,R489,MCRHN,0.272000
232,R489,GLYC,0.728000
246,R489,HAC,0.728000
262,R489,CH2O,0.272000
270,R489,NO2,1.728000
280,NO,R489,1.000000
281,R489,HO2,0.272000
162,ISOPNOO1,R490,1.000000
239,R490,IDN,1.000000
280,NO,R490,1.000000
148,ISOPNOO2,R491,1.000000
209,R491,ITCN,1.000000
281,R491,HO2,1.000000
148,ISOPNOO2,R492,1.000000
237,R492,MVKN,0.599000
238,R492,ITHN,0.401000
262,R492,CH2O,0.599000
279,R492,OH,0.599000
281,HO2,R492,0.401000
148,ISOPNOO2,R493,1.000000
237,R493,MVKN,1.000000
262,R493,CH2O,1.000000
270,R493,NO2,1.000000
280,NO,R493,1.000000
281,R493,HO2,1.000000
148,ISOPNOO2,R494,1.000000
239,R494,IDN,1.000000
280,NO,R494,1.000000
164,IDHNDOO1,R495,1.000000
209,R495,ITCN,1.000000
281,R495,HO2,1.000000
163,IDHNDOO2,R496,1.000000
209,R496,ITCN,1.000000
281,R496,HO2,1.000000
164,IDHNDOO1,R497,1.000000
171,R497,MCRHNB,0.031000
194,R497,PROPNN,0.551000
232,R497,GLYC,0.551000
238,R497,ITHN,0.418000
262,R497,CH2O,0.031000
279,R497,OH,0.582000
281,HO2,R497,0.418000
164,IDHNDOO1,R498,1.000000
171,R498,MCRHNB,0.065000
194,R498,PROPNN,0.935000
232,R498,GLYC,0.935000
262,R498,CH2O,0.065000
270,R498,NO2,1.000000
280,NO,R498,1.000000
281,R498,HO2,1.000000
164,IDHNDOO1,R499,1.000000
239,R499,IDN,1.000000
280,NO,R499,1.000000
163,IDHNDOO2,R500,1.000000
205,R500,ETHLN,0.441000
237,R500,MVKN,0.065000
238,R500,ITHN,0.494000
246,R500,HAC,0.441000
262,R500,CH2O,0.065000
279,R500,OH,0.506000
281,HO2,R500,0.494000
163,IDHNDOO2,R501,1.000000
205,R501,ETHLN,0.858000
237,R501,MVKN,0.142000
246,R501,HAC,0.858000
262,R501,CH2O,0.142000
270,R501,NO2,1.000000
280,NO,R501,1.000000
281,R501,HO2,1.000000
163,IDHNDOO2,R502,1.000000
239,R502,IDN,1.000000
280,NO,R502,1.000000
171,R503,MCRHNB,0.094000
194,R503,PROPNN,0.242000
205,R503,ETHLN,0.033000
229,IDHNBOO,R503,1.000000
232,R503,GLYC,0.242000
237,R503,MVKN,0.010000
238,R503,ITHN,0.621000
246,R503,HAC,0.033000
262,R503,CH2O,0.104000
279,R503,OH,0.379000
281,HO2,R503,0.621000
171,R504,MCRHNB,0.355000
194,R504,PROPNN,0.546000
205,R504,ETHLN,0.071000
229,IDHNBOO,R504,1.000000
232,R504,GLYC,0.546000
237,R504,MVKN,0.028000
246,R504,HAC,0.071000
262,R504,CH2O,0.383000
270,R504,NO2,1.000000
280,NO,R504,1.000000
281,R504,HO2,1.000000
229,IDHNBOO,R505,1.000000
239,R505,IDN,1.000000
280,NO,R505,1.000000
14,R506,LISOPNO3,1.000000
220,ISOP,R506,1.000000
240,R506,INO2B,0.465000
241,R506,INO2D,0.535000
283,NO3,R506,1.000000
177,R507,INPB,0.473000
240,INO2B,R507,1.000000
244,R507,MVK,0.479000
247,R507,MACR,0.048000
262,R507,CH2O,0.527000
270,R507,NO2,0.527000
279,R507,OH,0.527000
281,HO2,R507,1.000000
147,R508,INPD,1.000000
241,INO2D,R508,1.000000
281,HO2,R508,1.000000
177,R509,INPB,0.070000
236,R509,ICN,0.070000
240,INO2B,R509,2.000000
244,R509,MVK,1.737000
247,R509,MACR,0.123000
262,R509,CH2O,1.860000
270,R509,NO2,1.860000
123,R510,INA,0.474000
177,R510,INPB,0.399000
216,R510,IHN1,0.032000
236,R510,ICN,0.532000
240,INO2B,R510,1.000000
241,INO2D,R510,1.000000
244,R510,MVK,0.544000
247,R510,MACR,0.019000
262,R510,CH2O,0.563000
270,R510,NO2,0.563000
281,R510,HO2,0.089000
123,R511,INA,0.340000
210,R511,IHN4,0.127000
216,R511,IHN1,0.671000
236,R511,ICN,0.861000
241,INO2D,R511,2.000000
281,R511,HO2,0.064000
123,R512,INA,0.244000
210,R512,IHN4,0.057000
214,R512,MOH,0.355000
216,R512,IHN1,0.298000
236,R512,ICN,0.401000
241,INO2D,R512,1.000000
262,R512,CH2O,0.645000
263,MO2,R512,1.000000
281,R512,HO2,0.336000
177,R513,INPB,0.355000
214,R513,MOH,0.034000
236,R513,ICN,0.034000
240,INO2B,R513,1.000000
244,R513,MVK,0.583000
247,R513,MACR,0.028000
262,R513,CH2O,1.577000
263,MO2,R513,1.000000
270,R513,NO2,0.611000
281,R513,HO2,0.611000
240,INO2B,R514,1.000000
244,R514,MVK,0.903000
247,R514,MACR,0.097000
257,MCO3,R514,1.000000
262,R514,CH2O,1.000000
263,R514,MO2,1.000000
270,R514,NO2,1.000000
123,R515,INA,0.841000
236,R515,ICN,0.159000
241,INO2D,R515,1.000000
257,MCO3,R515,1.000000
263,R515,MO2,1.000000
281,R515,HO2,0.159000
240,INO2B,R516,1.000000
244,R516,MVK,0.903000
247,R516,MACR,0.097000
262,R516,CH2O,1.000000
270,R516,NO2,2.000000
283,NO3,R516,1.000000
123,R517,INA,0.841000
236,R517,ICN,0.159000
241,INO2D,R517,1.000000
270,R517,NO2,1.000000
281,R517,HO2,0.159000
283,NO3,R517,1.000000
240,INO2B,R518,1.000000
244,R518,MVK,0.904000
247,R518,MACR,0.096000
262,R518,CH2O,1.000000
270,R518,NO2,2.000000
280,NO,R518,1.000000
239,R519,IDN,1.000000
240,INO2B,R519,1.000000
280,NO,R519,1.000000
123,R520,INA,0.841000
236,R520,ICN,0.159000
241,INO2D,R520,1.000000
270,R520,NO2,1.000000
280,NO,R520,1.000000
281,R520,HO2,0.159000
239,R521,IDN,1.000000
241,INO2D,R521,1.000000
280,NO,R521,1.000000
123,INA,R522,1.000000
236,R522,ICN,1.000000
281,R522,HO2,1.000000
123,INA,R523,1.000000
229,R523,IDHNBOO,1.000000
177,INPB,R524,1.000000
217,R524,IHPNBOO,0.670000
229,R524,IDHNBOO,0.330000
279,OH,R524,1.000000
147,INPD,R525,1.000000
185,R525,IHPNDOO,1.000000
279,OH,R525,1.000000
177,INPB,R526,1.000000
238,R526,ITHN,1.000000
279,OH,R526,1.000000
279,R526,OH,1.000000
147,INPD,R527,1.000000
238,R527,ITHN,1.000000
279,OH,R527,1.000000
279,R527,OH,1.000000
147,INPD,R528,1.000000
170,R528,ICHE,1.000000
270,R528,NO2,1.000000
279,OH,R528,1.000000
177,INPB,R529,1.000000
240,R529,INO2B,1.000000
279,OH,R529,1.000000
147,INPD,R530,1.000000
241,R530,INO2D,1.000000
279,OH,R530,1.000000
147,INPD,R531,1.000000
236,R531,ICN,1.000000
279,OH,R531,1.000000
279,R531,OH,1.000000
185,IHPNDOO,R532,1.000000
209,R532,ITCN,1.000000
279,R532,OH,1.000000
209,R533,ITCN,0.500000
217,IHPNBOO,R533,1.000000
238,R533,ITHN,0.500000
279,R533,OH,1.000000
168,R534,HPETHNL,0.249000
171,R534,MCRHNB,0.060000
193,R534,ATOOH,0.009000
194,R534,PROPNN,0.589000
205,R534,ETHLN,0.051000
217,IHPNBOO,R534,1.000000
226,R534,MVKHP,0.054000
227,R534,MCRHP,0.004000
232,R534,GLYC,0.340000
237,R534,MVKN,0.008000
238,R534,ITHN,0.234000
246,R534,HAC,0.042000
262,R534,CH2O,0.126000
270,R534,NO2,0.058000
279,R534,OH,1.147000
